,CNTSCHID,Region,STRATUM,LANGTEST,PRIVATESCH,SCHLTYPE,STRATIO,SCHSIZE,RATCMP1,RATCMP2,TOTAT,PROATCE,PROAT5AB,PROAT5AM,PROAT6,CLSIZE,CREACTIV,EDUSHORT,STAFFSHORT,STUBEHA,TEACHBEHA,SCMCEG,W_SCHGRNRABWT,W_FSTUWT_SCH_SUM,SENWT
113,72400114,72402,ESP0204,156.0,private,2.0,,,,1.0,95.0,1.0,0.3263,0.6737,0.0105,53.0,2.0,-1.4212,1.0953,-0.9148,-0.1274,-1.0542,3.72119,199.31778,2.70247
114,72400115,72417,ESP9038,156.0,public,3.0,10.8521,917.0,0.5405,1.0,84.5,1.0,0.9763,0.0237,0.0,28.0,0.0,0.6606,0.9088,0.6058,1.2271,0.9042,8.12618,1113.18569,5.90155
115,72400116,72413,ESP9026,156.0,public,3.0,12.5825,648.0,0.3241,1.0,51.5,1.0,1.0,,,28.0,0.0,0.7681,0.21,-0.0956,-1.2356,0.9042,5.06138,584.21167,3.67578
116,72400117,72406,ESP0612,,private,,,,,,,,,,,,,,,,,,3.52857,64.2144,2.56259
117,72400118,72408,ESP0815,156.0,public,3.0,10.8182,595.0,0.297,1.0,55.0,1.0,1.0,,0.0364,23.0,1.0,1.2478,0.9088,-0.7293,0.7075,-0.3006,3.75337,394.03443,2.72585
118,72400119,72412,ESP1223,156.0,public,3.0,12.7683,1047.0,1.375,1.0,82.0,1.0,1.0,1.0,0.0488,18.0,0.0,0.8006,0.8371,1.2343,0.2266,-1.0542,1.0,76.65398,0.72624
119,72400120,72411,ESP1122,474.0,private,2.0,14.5366,298.0,,,20.5,1.0,1.0,0.0,0.0,18.0,0.0,0.4997,-0.7828,0.9717,0.2688,0.9042,17.67619,114.89524,12.83716
120,72400121,72407,ESP9014,156.0,private,2.0,18.1231,589.0,2.027,1.0,32.5,1.0,1.0,0.0462,0.0154,38.0,1.0,-0.2692,0.8371,-0.9664,-0.1274,0.9042,6.77461,192.92141,4.91999
121,72400122,72404,ESP0408,,private,,,,,,,,,,,,,,,,,,5.01353,104.28836,3.64103
122,72400123,72409,ESP9017,160.0,public,3.0,,,,1.0,55.0,1.0,,,0.0,28.0,1.0,0.8006,-0.614,0.4057,-0.7405,0.1571,12.66685,1345.98067,9.19918
123,72400124,72409,ESP9018,160.0,private,2.0,1.3043,30.0,1.0,1.0,23.0,1.0,1.0,0.5435,,33.0,0.0,0.2759,-1.4551,-0.5412,-0.1146,0.9042,35.43929,991.59785,25.73743
124,72400125,72410,ESP1019,156.0,public,3.0,8.807,502.0,0.5106,1.0,57.0,1.0,1.0,0.7632,0.0175,18.0,0.0,-1.4212,-1.4551,-0.335,-0.7866,0.9042,2.84272,205.69208,2.0645
125,72400126,72401,ESP9002,156.0,private,2.0,18.9589,692.0,0.5926,1.0,36.5,1.0,1.0,0.1096,0.0,53.0,1.0,-0.3123,0.4613,-1.6103,-0.9033,0.9042,29.42736,1742.59847,21.37133
126,72400127,72408,ESP0815,156.0,public,3.0,14.0905,1712.0,0.1758,1.0,121.5,0.7366,0.2798,,0.0165,33.0,2.0,2.9595,4.0442,1.7311,2.9139,-2.436,4.88925,337.348,3.55077
127,72400128,72409,ESP0917,160.0,public,3.0,10.4,650.0,1.0,1.0,62.5,0.96,1.0,0.408,0.032,28.0,1.0,0.1423,-0.0097,0.0645,0.352,-0.1661,16.69721,1413.29368,12.12619
128,72400129,72413,ESP9029,156.0,private,1.0,13.9455,1534.0,0.5747,1.0,110.0,1.0,1.0,0.3636,0.0091,28.0,1.0,-1.4212,-1.4551,-1.4545,-0.9033,0.9042,2.39663,199.65812,1.74053
129,72400130,72417,ESP9038,156.0,public,3.0,11.1694,1022.0,0.3871,1.0,91.5,1.0,,,0.0219,28.0,2.0,-0.4907,0.43,0.8153,0.3498,-1.0542,4.83403,1001.99279,3.51067
130,72400131,72404,ESP0407,160.0,public,3.0,3.3258,296.0,0.7463,1.0,89.0,0.0,0.8876,0.9551,0.0,53.0,0.0,0.5916,0.8242,0.0645,0.352,0.9042,2.56671,220.9665,1.86404
131,72400132,72416,ESP9036,156.0,private,2.0,20.25,648.0,1.0,1.0,32.0,1.0,1.0,0.8438,0.0,33.0,2.0,-0.0703,-1.4551,-2.0719,0.1439,-0.4859,3.28221,166.77223,2.38367
132,72400133,72405,ESP0509,156.0,public,3.0,11.9048,1000.0,0.5882,1.0,84.0,1.0,1.0,,,28.0,2.0,0.8006,0.4487,1.2033,0.2266,0.9042,2.99231,478.24784,2.17313
133,72400134,72402,ESP0203,156.0,public,3.0,9.1717,454.0,1.0606,1.0,49.5,1.0,1.0,0.4343,0.1414,23.0,1.0,1.6863,-1.4551,0.1795,0.2785,-1.0542,3.65633,231.87771,2.65538
134,72400135,72416,ESP9037,451.0,private,2.0,15.25,1220.0,1.0,1.0,80.0,0.7063,0.0,0.2938,0.0,53.0,3.0,1.2478,1.3405,-2.0719,-1.419,-1.0542,2.06579,157.82707,1.50026
135,72400136,72401,ESP0101,156.0,public,3.0,11.6552,507.0,0.186,1.0,43.5,,0.9195,0.069,0.023,28.0,1.0,0.4591,0.43,0.1795,1.2182,-1.585,20.12549,1690.2078,14.61594
136,72400137,72416,ESP9034,451.0,public,3.0,6.6667,260.0,0.1569,1.0,39.0,1.0,1.0,1.0,0.0,53.0,0.0,2.9595,0.1077,0.593,0.2266,0.3009,1.49427,33.72794,1.0852
137,72400138,72413,ESP9026,156.0,public,3.0,15.2889,344.0,0.4839,1.0,22.5,1.0,1.0,1.0,0.0444,33.0,0.0,0.8039,2.4895,2.7144,2.4325,0.9042,12.03272,510.04718,8.73864
138,72400139,72407,ESP9013,156.0,public,3.0,5.3333,120.0,1.0,1.0,22.5,0.0,0.0,,0.0444,18.0,0.0,-0.6884,0.028,-0.0956,-0.1274,0.9042,14.55023,241.73642,10.56696
139,72400140,72412,ESP1223,156.0,public,3.0,10.7748,1196.0,1.2821,1.0,111.0,,,,0.027,28.0,1.0,0.5994,1.3405,-0.0956,1.7102,-1.5648,1.0,109.57251,0.72624
140,72400141,72408,ESP0815,156.0,public,3.0,9.98,499.0,0.3846,1.0,50.0,1.0,0.86,0.18,0.04,23.0,2.0,-0.6344,0.21,-0.0956,-0.1662,0.3009,5.09018,387.41957,3.69669
141,72400142,72407,ESP9013,156.0,public,3.0,8.3038,328.0,1.0612,1.0,39.5,1.0,0.7848,0.2152,0.0506,23.0,1.0,0.1,0.21,0.4781,1.4533,0.9042,7.27512,397.06243,5.28348
142,72400143,72406,ESP0611,156.0,public,3.0,7.758,609.0,0.3929,1.0,78.5,1.0,1.0,,0.0,23.0,1.0,1.2478,0.4487,0.4215,1.0369,0.1571,1.66828,87.77813,1.21157
143,72400144,72413,ESP9025,156.0,public,3.0,12.4786,730.0,0.1812,1.0,58.5,,,0.1368,0.0855,28.0,1.0,-0.9432,1.0953,-0.6983,0.6479,-0.4859,2.71788,421.7428,1.97383
144,72400145,72411,ESP9022,,private,,,,,,,,,,,,,,,,,,3.22783,373.79419,2.34418
145,72400146,72403,ESP0305,156.0,public,3.0,8.8,616.0,0.25,1.0,70.0,,,,,23.0,0.0,1.7236,0.6798,-0.0384,1.6642,-2.436,1.74526,147.66542,1.26748
146,72400147,72411,ESP1122,156.0,private,2.0,15.5105,1109.0,1.039,1.0,71.5,1.0,1.0,,0.007,28.0,0.0,-1.4212,-0.5869,-2.0719,-1.2225,0.9042,4.94933,372.53563,3.5944
147,72400148,72413,ESP9029,156.0,private,1.0,16.525,661.0,0.7561,1.0,40.0,1.0,0.8625,0.1375,,23.0,1.0,-1.4212,-1.4551,-3.3785,-2.0409,0.9042,3.98011,166.25794,2.89052
148,72400149,72403,ESP0305,156.0,public,3.0,9.2907,799.0,0.3802,1.0,86.0,1.0,1.0,0.0698,0.0698,23.0,1.0,0.0969,0.2833,0.6532,0.5365,-0.1661,1.05229,116.20845,0.76421
149,72400150,72415,ESP1533,156.0,private,2.0,14.3556,646.0,0.2479,1.0,45.0,1.0,0.8,0.0,0.0444,28.0,1.0,-0.3123,1.1656,0.1795,0.7824,-0.1764,1.18007,117.12687,0.85702
150,72400151,72416,ESP9035,451.0,public,3.0,8.2,369.0,0.0,,45.0,1.0,0.0889,0.0222,0.0222,38.0,0.0,0.8339,-0.614,0.1795,-1.2356,0.9042,5.37637,186.00506,3.90454
151,72400152,72415,ESP1532,156.0,public,3.0,6.6038,175.0,1.2121,1.0,26.5,1.0,1.0,0.9245,0.0,18.0,0.0,-0.949,0.1964,0.4282,0.2266,-1.0542,2.44705,116.2813,1.77715
152,72400153,72401,ESP9001,156.0,public,3.0,11.3333,340.0,0.1389,1.0,30.0,0.9667,0.9667,0.1,0.0333,23.0,0.0,1.7273,1.6596,1.0465,1.4078,-0.3006,23.43379,1863.6191,17.01856
153,72400154,72408,ESP0815,156.0,public,3.0,8.2381,173.0,0.5263,1.0,21.0,1.0,1.0,1.0,0.0476,23.0,3.0,1.2478,1.5435,1.4126,1.6299,-1.0542,8.64147,392.56208,6.27578
154,72400155,72409,ESP9017,160.0,public,3.0,10.9091,720.0,0.887,1.0,66.0,1.0,1.0,0.303,0.0,28.0,0.0,1.2048,0.8371,0.0645,0.7929,0.9042,15.97125,1503.11958,11.59896
155,72400156,72414,ESP1430,156.0,public,3.0,11.9231,775.0,0.9211,1.0,65.0,1.0,1.0,0.0,0.0,28.0,3.0,1.4743,0.592,0.1795,-0.1563,-1.0542,3.75271,211.97309,2.72537
156,72400157,72401,ESP9001,156.0,public,3.0,13.1739,909.0,0.4839,1.0,69.0,1.0,0.1594,0.8406,0.0,23.0,1.0,0.3066,0.2633,1.6292,0.2785,-1.0542,24.79227,1688.927,18.00514
157,72400158,72414,ESP9030,156.0,public,3.0,12.0721,670.0,1.0,1.0,55.5,0.0,0.982,0.0,0.018,28.0,0.0,-0.6884,-0.0879,0.1795,0.6015,0.9042,3.02302,362.63682,2.19544
158,72400159,72416,ESP9035,451.0,public,3.0,7.8161,680.0,0.6667,1.0,87.0,0.0,0.9885,0.9885,0.0,53.0,3.0,1.0245,1.1514,0.1795,0.0519,0.9042,2.49926,279.77955,1.81506
159,72400160,72416,ESP9037,,private,,,,,,,,,,,,,,,,,,2.88234,169.67847,2.09327
160,72400161,72411,ESP1121,156.0,public,3.0,6.0,150.0,3.5,1.0,25.0,1.0,1.0,,0.0,18.0,1.0,-1.4212,0.8371,0.6405,0.6101,0.9042,18.93512,240.7213,13.75144
161,72400162,72417,ESP1738,160.0,public,3.0,7.3535,364.0,0.6,1.0,49.5,0.0,0.0,0.0,0.0,23.0,2.0,-0.3123,-1.4551,-0.3619,-0.6757,-1.0542,15.97689,1006.85154,11.60306
162,72400163,72403,ESP0305,156.0,public,3.0,9.4969,755.0,0.2419,1.0,79.5,1.0,1.0,1.0,0.0377,23.0,1.0,-0.3123,0.9285,1.3338,1.3992,-1.0542,1.36296,146.8834,0.98984
163,72400164,72404,ESP0408,156.0,private,3.0,14.8704,803.0,0.5469,1.0,54.0,0.8889,0.6204,0.3889,0.0,33.0,0.0,0.1,1.6509,1.0148,0.2266,-1.0542,3.89941,214.06688,2.83191
164,72400165,72409,ESP9017,160.0,public,3.0,8.5419,662.0,2.0,1.0,77.5,,,,0.0129,23.0,0.0,-0.2376,2.4651,0.3653,0.1051,-1.0542,20.99078,1638.58101,15.24435
165,72400166,72407,ESP9013,156.0,public,3.0,9.3168,750.0,0.3797,1.0,80.5,1.0,1.0,,,23.0,1.0,-0.2805,-0.0097,-0.335,0.6101,-0.5083,5.43072,452.45428,3.94401
166,72400167,72415,ESP1532,156.0,public,3.0,10.087,1160.0,0.8852,1.0,115.0,1.0,0.9739,0.1739,0.0435,23.0,3.0,-0.9432,-0.3163,0.4215,0.9355,0.1571,1.07859,208.17494,0.78332
167,72400168,72414,ESP1430,156.0,public,3.0,12.7232,1126.0,0.5556,1.0,88.5,1.0,0.9605,0.226,0.0565,33.0,1.0,-1.4212,0.43,0.1795,0.9355,-1.9458,2.00298,333.94805,1.45464
168,72400169,72417,ESP1738,160.0,public,3.0,8.0667,484.0,,,60.0,1.0,1.0,,,18.0,0.0,0.8006,1.2579,0.0645,0.2351,0.3009,11.08984,933.71504,8.05389
169,72400170,72409,ESP0917,160.0,public,3.0,10.6437,463.0,1.0,1.0,43.5,1.0,0.7816,0.1839,0.0345,28.0,3.0,-1.4212,-1.4551,0.0645,-0.4652,-0.2798,17.08552,1455.20435,12.40819
170,72400171,72412,ESP1223,156.0,public,3.0,12.6792,1008.0,0.7229,1.0,79.5,1.0,0.9308,0.0314,0.0377,23.0,0.0,-0.0672,0.1077,-1.1401,0.8378,0.9042,1.0,92.20171,0.72624
171,72400172,72416,ESP9037,451.0,private,2.0,14.0847,1662.0,1.0,1.0,118.0,1.0,0.6441,0.3475,0.0085,28.0,3.0,-0.6344,-0.5869,-1.0594,-1.2356,-1.0542,1.98734,161.60434,1.44329
172,72400173,72404,ESP0408,156.0,private,1.0,14.6087,336.0,1.0,1.0,23.0,1.0,0.8478,0.1522,0.0,18.0,0.0,-0.0987,0.6924,-0.6199,-0.5111,-1.0542,5.01353,85.71851,3.64103
173,72400174,72411,ESP1122,156.0,private,2.0,18.0,1080.0,0.7143,1.0,60.0,1.0,0.7917,0.1917,0.0167,48.0,1.0,0.8006,0.0055,-0.0956,-0.1274,-0.1971,6.62857,356.44971,4.81393
174,72400175,72401,ESP9001,156.0,public,3.0,13.1818,1160.0,0.3419,1.0,88.0,1.0,0.0795,0.8977,0.0227,28.0,1.0,1.7737,0.9088,1.1978,0.2266,-1.585,10.827,1795.83796,7.863
175,72400176,72412,ESP1223,156.0,public,3.0,11.2477,613.0,3.5,1.0,54.5,1.0,1.0,0.0734,0.0,18.0,2.0,-1.4212,-1.4551,-1.173,-2.0409,0.9042,1.0,31.93651,0.72624
176,72400177,72416,ESP9034,451.0,public,3.0,7.1954,313.0,0.5263,1.0,43.5,1.0,1.0,1.0,0.0,38.0,0.0,0.1,0.21,-0.3856,-0.7833,-0.1868,1.48045,7.76739,1.07516
177,72400178,72401,ESP9001,156.0,public,3.0,,,,1.0,46.0,1.0,1.0,1.0,0.0435,28.0,2.0,0.2681,-0.2968,-0.0384,0.2266,0.9042,15.69419,1532.09203,11.39775
178,72400179,72416,ESP9034,156.0,public,3.0,9.1953,777.0,2.1739,1.0,84.5,1.0,0.5976,0.2367,0.0473,23.0,1.0,-0.2692,-0.2968,0.4147,-0.5079,-0.1661,1.06045,84.65413,0.77014
179,72400180,72406,ESP0611,156.0,public,3.0,6.9639,289.0,0.2273,1.0,41.5,1.0,,,0.1205,23.0,2.0,-1.4212,0.8371,-0.6199,-0.5111,0.9042,1.98604,94.37367,1.44234
180,72400181,72410,ESP1019,156.0,public,3.0,6.2745,160.0,1.0,1.0,25.5,1.0,1.0,0.1176,0.0784,18.0,1.0,-0.4526,-0.0097,1.0522,0.2266,0.1571,4.80555,161.67769,3.48999
181,72400182,72410,ESP1019,156.0,public,3.0,7.5269,350.0,1.0,1.0,46.5,0.7312,0.2258,0.043,0.0,23.0,0.0,-0.9432,-0.614,-0.6199,-1.419,0.9042,4.6938,217.91258,3.40882
182,72400183,72403,ESP0305,156.0,public,3.0,8.8852,542.0,0.5517,1.0,61.0,1.0,1.0,,0.082,18.0,1.0,0.8006,0.3466,-0.0956,0.2266,0.3009,1.49074,141.44678,1.08264
183,72400184,72415,ESP1533,156.0,private,2.0,16.3452,1373.0,0.404,1.0,84.0,1.0,1.0,,0.0357,33.0,1.0,-0.6344,0.0055,-1.6103,-0.5111,0.9042,1.32431,125.10741,0.96176
184,72400185,72405,ESP0510,156.0,private,,17.6,308.0,1.0,1.0,17.5,1.0,0.9429,0.0571,0.0,28.0,0.0,0.7889,-0.1776,-1.6103,-0.3818,0.9042,9.33248,229.31489,6.77762
185,72400186,72408,ESP0815,156.0,public,3.0,10.5893,593.0,0.2459,1.0,56.0,1.0,1.0,,0.0357,23.0,0.0,1.9221,0.8371,1.0091,0.5395,-0.6263,4.58745,400.15786,3.33159
186,72400187,72416,ESP9035,451.0,public,3.0,6.6349,209.0,0.4255,1.0,31.5,1.0,1.0,1.0,0.0,23.0,0.0,1.2478,0.902,-0.6823,-0.5205,0.9042,5.37637,238.85174,3.90454
187,72400188,72417,ESP1738,156.0,public,3.0,8.5397,538.0,0.7738,1.0,63.0,1.0,0.9524,0.0,0.0476,28.0,3.0,-0.1413,-0.1953,-0.0871,0.0071,-0.1868,12.73833,911.70201,9.25109
188,72400189,72412,ESP1223,156.0,public,3.0,12.3066,843.0,0.2336,1.0,68.5,1.0,1.0,0.6715,0.0438,33.0,2.0,-0.6483,1.0607,-0.0956,0.2266,-1.0542,1.0,108.17121,0.72624
189,72400190,72408,ESP0815,156.0,public,3.0,,,,1.0,,,,,,28.0,0.0,1.3498,2.8705,1.5914,0.8378,-1.0542,3.17593,341.62758,2.30648
190,72400192,72406,ESP0611,156.0,public,3.0,9.0933,341.0,,,37.5,1.0,1.0,1.0,,,,-1.4212,0.6798,1.3338,0.3498,0.9042,1.98604,36.03031,1.44234
191,72400193,72408,ESP0815,156.0,public,3.0,10.8864,479.0,0.3472,1.0,44.0,0.9091,0.7727,0.0682,0.0455,23.0,2.0,1.2478,1.0953,0.6527,1.3275,-1.0391,5.63005,378.25394,4.08877
192,72400194,72409,ESP0917,160.0,public,3.0,10.1538,726.0,1.0,1.0,71.5,1.0,1.0,0.0559,0.0,53.0,1.0,-0.0703,0.5795,-1.4757,-0.0127,-1.0542,13.86184,1470.15061,10.06702
193,72400195,72416,ESP9036,,private,,,,,,,,,,,,,,,,,,3.28221,131.92207,2.38367
194,72400196,72401,ESP9001,156.0,public,3.0,13.3077,865.0,0.144,1.0,65.0,1.0,1.0,1.0,0.0308,23.0,1.0,1.9315,1.0815,-0.0956,0.2397,0.9042,12.67161,1678.95481,9.20263
195,72400197,72402,ESP0204,156.0,private,2.0,14.0426,660.0,1.0,1.0,47.0,1.0,1.0,0.1915,0.0213,18.0,1.0,-0.6884,0.2633,0.1795,0.2266,0.9042,2.46685,222.93586,1.79153
196,72400198,72413,ESP9025,156.0,public,3.0,,,,1.0,47.5,1.0,1.0,1.0,0.1474,28.0,1.0,1.7331,1.5598,-0.3856,0.2266,0.9042,3.5687,401.54285,2.59173
197,72400199,72402,ESP0203,156.0,public,3.0,10.2956,1045.0,0.604,1.0,101.5,,1.0,,,23.0,2.0,0.0574,0.6736,0.6405,0.2266,-0.4859,1.32318,219.05743,0.96094
198,72400200,72405,ESP0509,156.0,public,3.0,,,,0.5,60.5,,,0.4628,,23.0,0.0,1.7368,0.4487,0.9325,-0.1274,-1.0542,5.18667,362.75202,3.76677
199,72400201,72406,ESP0611,156.0,public,3.0,12.8261,1180.0,0.3846,1.0,92.0,1.0,1.0,1.0,0.0,23.0,1.0,-0.4907,-0.0719,-2.0719,-0.9033,0.9042,1.43817,93.92176,1.04446
200,72400202,72410,ESP1019,156.0,public,3.0,5.2,78.0,2.2222,1.0,15.0,,,0.8667,0.0,18.0,1.0,-1.4212,0.0131,-1.4545,-0.5205,0.9042,4.80555,74.00554,3.48999
201,72400203,72415,ESP1533,156.0,private,2.0,15.023,1630.0,0.4396,1.0,108.5,0.8848,0.8479,0.0507,0.0461,33.0,2.0,0.636,0.6045,-2.038,-0.4321,-1.0542,1.33919,110.96107,0.97257
202,72400204,72402,ESP0204,156.0,private,1.0,17.3158,658.0,0.5,1.0,38.0,1.0,0.0,0.0,0.0,28.0,2.0,-0.4873,0.0055,-1.3196,-0.9173,0.9042,3.99182,228.56891,2.89902
203,72400205,72405,ESP9009,156.0,public,3.0,,,,1.0,36.0,1.0,1.0,,0.0278,28.0,0.0,-0.2376,0.436,-0.0871,0.8952,-0.1764,5.72059,400.65456,4.15452
204,72400206,72408,ESP0815,156.0,public,3.0,6.6522,153.0,0.9091,1.0,23.0,1.0,1.0,0.1522,0.0,13.0,1.0,0.8339,-1.4551,0.1795,-0.1177,0.9042,8.84722,226.47691,6.42521
205,72400207,72418,ESP1840,156.0,public,3.0,12.4706,1166.0,0.2655,1.0,93.5,1.0,1.0,,0.0535,28.0,0.0,0.7566,1.3635,-0.0956,0.9054,-1.0542,1.0,132.90275,0.72624
206,72400208,72412,ESP1223,156.0,public,3.0,9.0588,77.0,,,8.5,1.0,1.0,1.0,,53.0,0.0,0.6635,-0.2968,-0.2174,-2.0409,0.9042,1.0,10.28571,0.72624
207,72400209,72402,ESP0203,156.0,public,3.0,11.3021,1328.0,0.3169,1.0,117.5,1.0,1.0,0.0,0.034,28.0,0.0,1.4783,2.1075,1.0522,0.9355,-0.0716,1.54525,243.57473,1.12222
208,72400210,72404,ESP0407,160.0,public,3.0,10.1151,703.0,3.0081,1.0,69.5,1.0,1.0,0.1655,0.0719,28.0,3.0,1.6863,-0.3163,-0.1493,0.7929,-3.4857,1.98003,213.48515,1.43798
209,72400211,72416,ESP9036,156.0,private,2.0,3.164,1582.0,0.3534,1.0,500.0,0.933,0.333,0.6,0.004,28.0,1.0,0.1,0.2964,0.8153,-0.1274,-0.061,1.0,200.03115,0.72624
210,72400212,72410,ESP1019,156.0,public,3.0,7.4286,364.0,1.1538,1.0,49.0,0.9592,0.0,0.0,0.0,23.0,1.0,-0.6344,-0.7828,-0.0956,-1.2356,0.9042,3.01244,181.47368,2.18775
211,72400213,72402,ESP0204,156.0,private,1.0,1.0,41.0,1.2195,1.0,46.0,1.0,1.0,0.5543,0.0217,23.0,1.0,-0.2376,-0.1776,-0.9148,-2.0409,0.9042,4.98977,220.22224,3.62377
212,72400214,72404,ESP0408,156.0,private,1.0,18.0,1080.0,0.3333,1.0,60.0,0.875,0.5,0.375,0.0,28.0,0.0,0.1,0.6736,-0.0956,0.2266,-1.0542,3.05171,154.76431,2.21628
213,72400215,72404,ESP0407,160.0,public,3.0,7.6923,400.0,0.3472,1.0,52.0,,,0.0769,0.0,23.0,2.0,0.9735,0.1077,-3.3611,0.2605,-0.1661,2.28465,206.65252,1.6592
214,72400216,72401,ESP0101,156.0,public,3.0,8.9333,201.0,1.0417,1.0,22.5,,,0.9778,0.0,48.0,1.0,0.8339,0.2701,0.8153,-0.7733,0.9042,35.63889,1684.49917,25.88239
215,72400217,72409,ESP9017,160.0,public,3.0,10.4898,514.0,0.6164,1.0,49.0,1.0,0.8367,0.1633,0.051,23.0,1.0,-1.4212,-0.0879,-0.195,-1.0511,0.9042,17.91896,1517.152,13.01347
216,72400218,72402,ESP0203,156.0,public,3.0,9.3939,465.0,3.2787,0.275,49.5,1.0,1.0,,,28.0,3.0,-0.9432,-0.5869,1.9951,0.9255,0.9042,3.20247,246.18581,2.32576
217,72400219,72415,ESP1532,156.0,public,3.0,9.4242,622.0,0.4889,1.0,66.0,0.0,0.0,0.0,0.0,23.0,0.0,0.1,-0.1776,-0.2753,-0.1695,0.9042,1.07859,188.23236,0.78332
218,72400220,72408,ESP0816,156.0,private,2.0,,,,,,,,,,,,0.4698,0.5859,,,,8.69792,388.61419,6.31678
219,72400221,72404,ESP0408,156.0,private,2.0,13.5849,720.0,1.0638,,53.0,,,0.2453,0.0,48.0,0.0,-0.2692,0.9678,-1.6103,-1.2356,0.9042,4.29731,201.78403,3.12088
220,72400222,72409,ESP9017,160.0,public,3.0,2.7805,57.0,1.0,1.0,20.5,,,,0.0,18.0,1.0,1.9358,2.8705,0.0994,1.1607,0.9042,25.77815,1458.66606,18.72113
221,72400223,72408,ESP0815,156.0,public,3.0,10.4719,466.0,0.7843,1.0,44.5,,,0.0,0.0,23.0,0.0,1.2911,0.21,0.7468,-2.0409,0.9042,7.58333,396.48841,5.50732
222,72400224,72406,ESP0612,156.0,private,1.0,15.4697,1021.0,0.5128,1.0,66.0,1.0,0.9848,0.0,0.0152,28.0,2.0,0.108,-0.1776,-0.0322,-0.7833,0.9042,1.15781,86.02425,0.84085
223,72400225,72402,ESP0204,156.0,private,2.0,17.9016,1092.0,0.4412,1.0,61.0,1.0,,,,23.0,2.0,-1.4212,0.9151,-0.4684,0.1439,0.9042,2.64518,194.28571,1.92104
224,72400226,72401,ESP0101,156.0,public,3.0,1.0,48.0,0.3125,1.0,52.0,1.0,1.0,,,18.0,2.0,0.8072,,0.376,-0.1144,-1.0542,28.99435,1305.83909,21.05686
225,72400227,72407,ESP9014,156.0,private,2.0,15.85,634.0,1.0,1.0,40.0,,,,0.025,23.0,1.0,-0.6884,0.2833,-0.0871,-2.0409,0.9042,6.77461,291.29054,4.91999
226,72400228,72410,ESP1019,156.0,public,3.0,5.0164,153.0,1.0,1.0,30.5,1.0,1.0,,,13.0,0.0,0.1,0.2833,1.2033,0.7958,-1.5648,4.80555,186.70689,3.48999
227,72400229,72411,ESP1121,156.0,public,3.0,5.8966,171.0,2.4545,1.0,29.0,1.0,1.0,0.5862,0.0,13.0,1.0,-1.4212,0.0055,-2.0719,-0.4321,0.9042,18.93512,118.12832,13.75144
228,72400230,72402,ESP0203,156.0,public,3.0,,,,1.0,99.0,0.9495,,,,23.0,3.0,-0.6884,-1.4551,-0.335,-1.9767,0.9042,2.86975,246.18374,2.08413
229,72400231,72402,ESP9003,156.0,public,3.0,9.567,464.0,0.6667,1.0,48.5,1.0,1.0,0.0,0.0,18.0,1.0,-1.4212,0.2633,2.363,1.6299,-1.0542,2.6623,222.35115,1.93347
230,72400232,72411,ESP1121,474.0,public,3.0,6.6491,379.0,1.7692,1.0,57.0,1.0,0.8947,0.1053,0.0,18.0,0.0,-0.113,0.8051,-1.2585,0.2785,0.9042,8.83639,427.45626,6.41734
231,72400233,72416,ESP9036,156.0,private,2.0,12.9459,479.0,1.3415,1.0,37.0,1.0,0.5135,0.4865,0.0,18.0,1.0,-1.4212,-0.5869,-0.9148,0.2785,0.1329,3.28221,137.73502,2.38367
232,72400234,72402,ESP0204,,private,,,,,,,,,,,,,,,,,,5.22738,76.64385,3.79633
233,72400235,72416,ESP9035,451.0,public,3.0,9.0222,812.0,0.5738,1.0,90.0,0.0,1.0,0.0,0.0,23.0,0.0,0.4698,0.1077,0.1795,0.6015,0.9042,2.0465,338.66764,1.48625
234,72400236,72404,ESP0408,160.0,private,2.0,13.6744,294.0,1.0,1.0,21.5,1.0,0.907,0.0465,0.0465,18.0,2.0,-0.2805,0.43,-0.1493,-0.2487,0.9042,5.01353,104.72484,3.64103
235,72400237,72413,ESP9028,156.0,private,2.0,14.6462,476.0,0.431,1.0,32.5,1.0,0.8462,0.2,0.0308,28.0,1.0,0.2681,0.6736,-1.1401,0.6101,-1.0542,5.94031,746.448,4.31409
236,72400238,72405,ESP0509,156.0,public,3.0,,,,1.0,64.5,1.0,1.0,0.0465,0.0,28.0,0.0,0.5886,0.6924,0.4201,1.1635,0.9042,4.42045,300.78316,3.21031
237,72400239,72406,ESP0611,156.0,public,3.0,10.0886,797.0,0.198,1.0,79.0,1.0,1.0,,,23.0,2.0,0.7452,0.8371,0.1795,0.6101,0.9042,1.06941,92.56501,0.77665
238,72400240,72406,ESP0612,156.0,private,2.0,15.3906,985.0,1.4516,1.0,64.0,1.0,0.5781,0.4063,0.0156,23.0,0.0,0.265,0.2833,-2.0719,-0.9033,0.9042,1.34727,80.32106,0.97844
239,72400241,72405,ESP0509,156.0,public,3.0,5.9429,104.0,,,17.5,1.0,1.0,0.0571,0.0,13.0,1.0,1.2002,1.0744,0.5206,0.6364,-0.4748,18.52381,97.65663,13.45273
240,72400242,72413,ESP9025,156.0,public,3.0,10.9645,773.0,0.6813,0.7903,70.5,1.0,0.844,0.3759,0.0284,53.0,1.0,0.9868,1.2579,1.0522,0.9054,0.9042,4.06337,394.92454,2.95098
